iupac,smiles,expt,calc,inchi,selfies,iupac_name,expt_cat,target_2,target_5
butyl paraben,CCCCOC(=O)c1ccc(cc1)O,-8.72,-8.771,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3",[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],butyl 4-hydroxybenzoate,medium,0,0
hexyl acetate,CCCCCCOC(=O)C,-2.26,-2.219,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",[C][C][C][C][C][C][O][C][=Branch1][C][=O][C],hexyl acetate,very large,1,3
cyclopentanone,C1CCC(=O)C1,-4.7,-3.889,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,[C][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1],cyclopentanone,large,0,1
pentanoic acid,CCCCC(=O)O,-6.16,-9.053,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",[C][C][C][C][C][=Branch1][C][=O][O],pentanoic acid,large,0,1
bromoethane,CCBr,-0.74,0.487,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3",[C][C][Br],bromoethane,very large,1,4
"2,6-dimethylnaphthalene",Cc1ccc2cc(ccc2c1)C,-2.63,-2.848,"InChI=1S/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3",[C][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C],"2,6-dimethylnaphthalene",large,1,3
hexan-1-ol,CCCCCCO,-4.4,-3.0,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",[C][C][C][C][C][C][O],hexan-1-ol,large,0,1
1-chloro-2-phenyl-benzene,c1ccc(cc1)c2ccccc2Cl,-2.69,-2.508,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],1-chloro-2-phenylbenzene,large,1,2
1-methylcyclohexene,CC1=CCCCC1,0.67,1.338,"InChI=1S/C7H12/c1-7-5-3-2-4-6-7/h5H,2-4,6H2,1H3",[C][C][=C][C][C][C][C][Ring1][=Branch1],1-methylcyclohexene,very large,1,4
hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66,-1.596,"InChI=1S/C6H13NO3/c1-2-3-4-5-6-10-7(8)9/h2-6H2,1H3",[C][C][C][C][C][C][O][N+1][=Branch1][C][=O][O-1],hexyl nitrate,very large,1,3
bromoform,C(Br)(Br)Br,-2.13,-0.531,InChI=1S/CHBr3/c2-1(3)4/h1H,[C][Branch1][C][Br][Branch1][C][Br][Br],bromoform,very large,1,3
4-ethylphenol,CCc1ccc(cc1)O,-6.13,-5.453,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],4-ethylphenol,large,0,1
2-propoxyethanol,CCCOCCO,-6.4,-3.94,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",[C][C][C][O][C][C][O],2-propoxyethanol,large,0,0
phenyl formate,c1ccc(cc1)OC=O,-3.82,-5.442,InChI=1S/C7H6O2/c8-6-9-7-4-2-1-3-5-7/h1-6H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=O],phenyl formate,large,0,2
5-iodouracil,c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,-17.742,"InChI=1S/C4H3IN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)",[C][=C][Branch1][=N][C][=Branch1][C][=O][NH1][C][=Branch1][C][=O][NH1][Ring1][Branch2][I],"5-iodo-1h-pyrimidine-2,4-dione",small,0,0
butyric acid,CCCC(=O)O,-6.35,-9.434,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",[C][C][C][C][=Branch1][C][=O][O],butanoic acid,large,0,0
"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(C(F)(F)F)(OC)OC,-0.8,-2.319,"InChI=1S/C5H9F3O3/c1-9-5(10-2,11-3)4(6,7)8/h1-3H3",[C][O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][Ring1][O][C][O][C],"1,1,1-trifluoro-2,2,2-trimethoxyethane",very large,1,3
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,-14.148,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5+/m1/s1",[C][C@H1][Branch1][S][C@@H1][Branch1][N][C@H1][Branch1][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][O][O][O],"(2s,3r,4s,5r)-oxane-2,3,4,5-tetrol",very small,0,0
bromo-trifluoro-methane,C(F)(F)(F)Br,1.79,1.564,"InChI=1S/CBrF3/c2-1(3,4)5",[C][Branch1][C][F][Branch1][C][F][Branch1][C][F][Br],bromo-trifluoromethane,very large,1,4
butan-1-ol,CCCCO,-4.72,-3.232,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",[C][C][C][C][O],butan-1-ol,large,0,1
fluorobenzene,c1ccc(cc1)F,-0.8,-0.041,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F],fluorobenzene,very large,1,3
ethyl acetate,CCOC(=O)C,-2.94,-3.745,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",[C][C][O][C][=Branch1][C][=O][C],ethyl acetate,large,1,2
isobutyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,-1.69,-2.58,"InChI=1S/C8H16O2/c1-6(2)5-10-8(9)7(3)4/h6-7H,5H2,1-4H3",[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C][Branch1][C][C][C],2-methylpropyl 2-methylpropanoate,very large,1,3
2-methoxy-2-methyl-propane,CC(C)(C)OC,-2.21,-0.691,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",[C][C][Branch1][C][C][Branch1][C][C][O][C],2-methoxy-2-methylpropane,very large,1,3
pentan-3-one,CCC(=O)CC,-3.41,-3.05,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",[C][C][C][=Branch1][C][=O][C][C],pentan-3-one,large,1,2
"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.1,-1.353,"InChI=1S/C3H3F3O2/c1-8-2(7)3(4,5)6/h1H3",[C][O][C][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F],"methyl 2,2,2-trifluoroacetate",very large,1,3
naphthalene,c1ccc2ccccc2c1,-2.4,-3.213,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,[C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2],naphthalene,large,1,3
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,-0.805,InChI=1S/C12H3Cl7/c13-6-2-1-4(8(15)10(6)17)5-3-7(14)11(18)12(19)9(5)16/h1-3H,[C][=C][C][=Branch2][Ring1][S][=C][Branch2][Ring1][O][C][=Branch2][Ring1][=Branch1][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl][Cl],"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",large,0,1
acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,-9.94,-9.399,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],2-acetyloxybenzoic acid,medium,0,0
"3,3-dimethylbutan-2-one",CC(=O)C(C)(C)C,-3.11,-3.234,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",[C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C],"3,3-dimethylbutan-2-one",large,1,2
methyl methanesulfonate,COS(=O)(=O)C,-4.87,-8.824,"InChI=1S/C2H6O3S/c1-5-6(2,3)4/h1-2H3",[C][O][S][=Branch1][C][=O][=Branch1][C][=O][C],methyl methanesulfonate,large,0,1
4-ethylpyridine,CCc1ccncc1,-4.73,-3.19,"InChI=1S/C7H9N/c1-2-7-3-5-8-6-4-7/h3-6H,2H2,1H3",[C][C][C][=C][C][=N][C][=C][Ring1][=Branch1],4-ethylpyridine,large,0,1
N-isopropylpropan-2-amine,CC(C)NC(C)C,-3.22,-1.985,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",[C][C][Branch1][C][C][N][C][Branch1][C][C][C],n-propan-2-ylpropan-2-amine,large,1,2
"2,7-dichlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,-3.321,InChI=1S/C12H6Cl2O2/c13-7-1-3-9-11(5-7)16-10-4-2-8(14)6-12(10)15-9/h1-6H,[C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][O][C][=C][C][=C][Branch1][Branch2][C][=C][Ring1][=Branch1][O][Ring1][=N][Cl],"2,7-dichlorooxanthrene",large,0,2
heptan-1-amine,CCCCCCCN,-3.79,-2.554,"InChI=1S/C7H17N/c1-2-3-4-5-6-7-8/h2-8H2,1H3",[C][C][C][C][C][C][C][N],heptan-1-amine,large,0,2
methylcyclopentane,CC1CCCC1,1.59,1.785,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",[C][C][C][C][C][C][Ring1][Branch1],methylcyclopentane,very large,1,4
propane,CCC,2.0,2.495,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",[C][C][C],propane,very large,1,4
2-methyltetrahydrofuran,C[C@H]1CCCO1,-3.3,-1.984,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3/t5-/m0/s1",[C][C@H1][C][C][C][O][Ring1][Branch1],(2s)-2-methyloxolane,large,1,2
naphthalen-1-yl N-methylcarbamate,CNC(=O)Oc1cccc2c1cccc2,-9.45,-10.436,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)",[C][N][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Ring1][=Branch1],naphthalen-1-yl n-methylcarbamate,medium,0,0
3-hydroxybenzaldehyde,c1cc(cc(c1)O)C=O,-9.52,-9.369,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H",[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=O],3-hydroxybenzaldehyde,medium,0,0
anthracene,c1ccc2cc3ccccc3cc2c1,-3.95,-5.187,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,[C][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Ring1][=C],anthracene,large,0,2
dichloromethane,C(Cl)Cl,-1.31,0.038,InChI=1S/CH2Cl2/c2-1-3/h1H2,[C][Branch1][C][Cl][Cl],dichloromethane,very large,1,3
"methyl 2,2-dimethylpropanoate",CC(C)(C)C(=O)OC,-2.4,-3.304,"InChI=1S/C6H12O2/c1-6(2,3)5(7)8-4/h1-4H3",[C][C][Branch1][C][C][Branch1][C][C][C][=Branch1][C][=O][O][C],"methyl 2,2-dimethylpropanoate",large,1,3
trichloro(nitro)methane,C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45,-0.379,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7",[C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][Branch1][C][Cl][Branch1][C][Cl][Cl],trichloro-nitromethane,very large,1,3
sulfolane,C1CC[S+2](C1)([O-])[O-],-8.61,-9.624,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,[C][C][C][S+2][Branch1][Ring2][C][Ring1][Branch1][Branch1][C][O-1][O-1],"thiolane 1,1-dioxide",medium,0,0
"2,6-dimethylphenol",Cc1cccc(c1O)C,-5.26,-4.308,"InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3",[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C],"2,6-dimethylphenol",large,0,1
m-cresol,Cc1cccc(c1)O,-5.49,-5.378,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],3-methylphenol,large,0,1
"1-amino-4-hydroxy-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,-10.984,"InChI=1S/C14H9NO3/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6,16H,15H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][=C][C][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][Ring1][N][=O][O][N],"1-amino-4-hydroxyanthracene-9,10-dione",medium,0,0
"1,4-diamino-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85,-15.252,"InChI=1S/C14H10N2O2/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6H,15-16H2",[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][=C][C][=C][C][=Branch1][Branch2][=C][Ring1][=Branch1][C][Ring1][N][=O][N][N],"1,4-diaminoanthracene-9,10-dione",medium,0,0
nonan-2-one,CCCCCCCC(=O)C,-2.49,-2.563,"InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3",[C][C][C][C][C][C][C][C][=Branch1][C][=O][C],nonan-2-one,large,1,3
butan-1-amine,CCCCN,-4.24,-2.961,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",[C][C][C][C][N],butan-1-amine,large,0,2
ethyl butanoate,CCCC(=O)OCC,-2.49,-3.381,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",[C][C][C][C][=Branch1][C][=O][O][C][C],ethyl butanoate,large,1,3
4-methylaniline,Cc1ccc(cc1)N,-5.57,-5.494,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],4-methylaniline,large,0,1
1-iodohexane,CCCCCCI,0.08,0.043,"InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3",[C][C][C][C][C][C][I],1-iodohexane,very large,1,4
"1,1,2-trichloro-1,2,2-trifluoro-ethane",C(C(F)(Cl)Cl)(F)(F)Cl,1.77,1.691,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][Cl][Cl][Branch1][C][F][Branch1][C][F][Cl],"1,1,2-trichloro-1,2,2-trifluoroethane",very large,1,4
trimethyl phosphate,COP(=O)(OC)OC,-8.7,-10.642,"InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3",[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],"hydroxy-trimethoxyphosphanium
trimethyl phosphate",medium,0,0
"1,3-dichlorobenzene",c1cc(cc(c1)Cl)Cl,-0.98,-0.11,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],"1,3-dichlorobenzene",very large,1,3
"1,3-dimethylnaphthalene",Cc1cc(c2ccccc2c1)C,-2.47,-2.995,"InChI=1S/C12H12/c1-9-7-10(2)12-6-4-3-5-11(12)8-9/h3-8H,1-2H3",[C][C][=C][C][=Branch1][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C],"1,3-dimethylnaphthalene",large,1,3
isohexane,CCCC(C)C,2.51,2.808,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",[C][C][C][C][Branch1][C][C][C],2-methylpentane,very large,1,4
chlorpyrifos,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04,-9.625,"InChI=1S/C9H11Cl3NO3PS/c1-3-14-17(18,15-4-2)16-9-7(11)5-6(10)8(12)13-9/h5H,3-4H2,1-2H3",[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=C][Branch1][=N][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][Cl][Cl],"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxyphosphorane",large,0,1
"2-chloro-1,1,1-trifluoro-ethane",C(C(F)(F)F)Cl,0.06,0.233,"InChI=1S/C2H2ClF3/c3-1-2(4,5)6/h1H2",[C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Cl],"2-chloro-1,1,1-trifluoroethane",very large,1,4
ethylene,C=C,1.28,2.328,InChI=1S/C2H4/c1-2/h1-2H2,[C][=C],ethene,very large,1,4
1-iodopentane,CCCCCI,-0.14,-0.111,"InChI=1S/C5H11I/c1-2-3-4-5-6/h2-5H2,1H3",[C][C][C][C][C][I],1-iodopentane,very large,1,4
trimethoxymethane,COC(OC)OC,-4.42,-4.625,"InChI=1S/C4H10O3/c1-5-4(6-2)7-3/h4H,1-3H3",[C][O][C][Branch1][Ring1][O][C][O][C],trimethoxymethane,large,0,1
decane,CCCCCCCCCC,3.16,3.335,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",[C][C][C][C][C][C][C][C][C][C],decane,very large,1,4
"1,2-dinitroxypropane",C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95,-5.646,"InChI=1S/C3H6N2O6/c1-3(11-5(8)9)2-10-4(6)7/h3H,2H2,1H3/t3-/m0/s1",[C][C@@H1][Branch1][Branch2][C][O][N+1][=Branch1][C][=O][O-1][O][N+1][=Branch1][C][=O][O-1],[(2s)-1-nitrooxypropan-2-yl] nitrate,large,0,1
prop-1-ene,CC=C,1.32,2.328,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",[C][C][=C],prop-1-ene,very large,1,4
3-methyl-1H-indole,Cc1c[nH]c2c1cccc2,-5.88,-8.161,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3",[C][C][=C][NH1][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1],3-methyl-1h-indole,large,0,1
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74,-13.424,"InChI=1S/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3/t3-/m1/s1",[C][O][P][=Branch1][C][=O][Branch1][=N][C@H1][Branch1][=Branch2][C][Branch1][C][Cl][Branch1][C][Cl][Cl][O][O][C],"(1r)-2,2,2-trichloro-1-dimethoxyphosphorylethanol",medium,0,0
cyclohexane,C1CCCCC1,1.23,1.503,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,[C][C][C][C][C][C][Ring1][=Branch1],cyclohexane,very large,1,4
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C/CO)/C)C,-4.45,-2.518,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",[C][C][=Branch1][O][=C][C][C][/C][=Branch1][Ring2][=C][/C][O][/C][C],"(2e)-3,7-dimethylocta-2,6-dien-1-ol
3,7-dimethylocta-2,6-dien-1-ol",large,0,1
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,2.56,2.674,"InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",[C][C][Branch1][C][C][C][Branch1][C][C][C][Branch1][C][C][C],"2,3,4-trimethylpentane",very large,1,4
3-methylbutan-2-one,CC(C)C(=O)C,-3.24,-3.078,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",[C][C][Branch1][C][C][C][=Branch1][C][=O][C],3-methylbutan-2-one,large,1,2
N-butylbutan-1-amine,CCCCNCCCC,-3.24,-2.076,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",[C][C][C][C][N][C][C][C][C],n-butylbutan-1-amine,large,1,2
butane-1-thiol,CCCCS,-0.99,-0.174,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",[C][C][C][C][S],butane-1-thiol,very large,1,3
"1,2,3,4-tetrachlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81,-2.775,InChI=1S/C12H4Cl4O2/c13-7-8(14)10(16)12-11(9(7)15)17-5-3-1-2-4-6(5)18-12/h1-4H,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][O][Ring1][#C],"1,2,3,4-tetrachlorooxanthrene",large,0,2
"2,6-dichlorosyringaldehyde",COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,-9.846,"InChI=1S/C9H8Cl2O4/c1-14-8-5(10)4(3-12)6(11)9(15-2)7(8)13/h3,13H,1-2H3",[C][O][C][=C][Branch2][Ring1][Ring1][C][=Branch1][=C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][C][=O][Cl][O][C][O],"2,6-dichloro-4-hydroxy-3,5-dimethoxybenzaldehyde",medium,0,0
cyclohexanamine,C1CCC(CC1)N,-4.59,-3.953,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",[C][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][N],cyclohexanamine,large,0,1
chloro-difluoro-methane,C(F)(F)Cl,-0.5,-0.067,InChI=1S/CHClF2/c2-1(3)4/h1H,[C][Branch1][C][F][Branch1][C][F][Cl],chloro-difluoromethane,very large,1,4
methyl 4-nitrobenzoate,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,-6.588,"InChI=1S/C8H7NO4/c1-13-8(10)6-2-4-7(5-3-6)9(11)12/h2-5H,1H3",[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],methyl 4-nitrobenzoate,large,0,0
1-(3-pyridyl)ethanone,CC(=O)c1cccnc1,-8.26,-7.844,"InChI=1S/C7H7NO/c1-6(9)7-3-2-4-8-5-7/h2-5H,1H3",[C][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],1-pyridin-3-ylethanone,medium,0,0
nonanal,CCCCCCCCC=O,-2.07,-2.336,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",[C][C][C][C][C][C][C][C][C][=O],nonanal,very large,1,3
propionic acid,CCC(=O)O,-6.46,-9.088,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",[C][C][C][=Branch1][C][=O][O],propanoic acid,large,0,0
chloroform,C(Cl)(Cl)Cl,-1.08,0.285,InChI=1S/CHCl3/c2-1(3)4/h1H,[C][Branch1][C][Cl][Branch1][C][Cl][Cl],chloroform,very large,1,3
"1,2,3-trimethylbenzene",Cc1cccc(c1C)C,-1.21,-0.883,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3",[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][C],"1,2,3-trimethylbenzene",very large,1,3
methane,C,2.0,2.446,InChI=1S/CH4/h1H4,[C],methane,very large,1,4
benzyl chloride,c1ccc(cc1)CCl,-1.93,-1.742,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Cl],chloromethylbenzene,very large,1,3
methylcyclohexane,CC1CCCCC1,1.7,1.679,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",[C][C][C][C][C][C][C][Ring1][=Branch1],methylcyclohexane,very large,1,4
2-methylthiophene,Cc1cccs1,-1.38,-0.3,"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",[C][C][=C][C][=C][S][Ring1][Branch1],2-methylthiophene,very large,1,3
pyridine,c1ccncc1,-4.69,-3.508,InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H,[C][=C][C][=N][C][=C][Ring1][=Branch1],pyridine,large,0,1
1-chlorobutane,CCCCCl,-0.16,0.993,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",[C][C][C][C][Cl],1-chlorobutane,very large,1,4
"2,5-dimethyltetrahydrofuran",C[C@H]1CC[C@@H](O1)C,-2.92,-1.787,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1",[C][C@H1][C][C][C@@H1][Branch1][Ring2][O][Ring1][Branch1][C],"(2s,5s)-2,5-dimethyloxolane",large,1,2
4-methyl-2-methoxyphenol,Cc1ccc(c(c1)OC)O,-5.8,-4.547,"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",[C][C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O],2-methoxy-4-methylphenol,large,0,1
toluene,Cc1ccccc1,-0.9,-0.79,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",[C][C][=C][C][=C][C][=C][Ring1][=Branch1],methylbenzene,very large,1,3
isobutyl formate,CC(C)COC=O,-2.22,-3.458,"InChI=1S/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3",[C][C][Branch1][C][C][C][O][C][=O],2-methylpropyl formate,very large,1,3
ethyl paraben,CCOC(=O)c1ccc(cc1)O,-9.2,-9.535,"InChI=1S/C9H10O3/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6,10H,2H2,1H3",[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],ethyl 4-hydroxybenzoate,medium,0,0
